precinct,biden_total,trump_total,total,trump_percent,biden_percent
3124,1539.0,1751.0,3290.0,53.22188449848024,46.77811550151976
3125,1336.0,1553.0,2889.0,53.75562478366217,46.244375216337836
3126,699.0,843.0,1542.0,54.6692607003891,45.3307392996109
3127,1562.0,1099.0,2661.0,41.30026305900037,58.69973694099963
3128,15.0,25.0,40.0,62.5,37.5
3129,1441.0,926.0,2367.0,39.121250528094635,60.878749471905365
3130,640.0,824.0,1464.0,56.284153005464475,43.71584699453552
3131,0.0,2.0,2.0,100.0,0.0
3132,586.0,310.0,896.0,34.598214285714285,65.40178571428571
3133,0.0,0.0,0.0,,
3134,1208.0,506.0,1714.0,29.52158693115519,70.4784130688448
3135,430.0,238.0,668.0,35.62874251497006,64.37125748502994
